rank,name,mode,model,objective,best_epoch,success_test_seen_or_q95_K3_fa,success_test_ood_or_q95_K3_fa,failure_test_seen_or_q95_K3_det,failure_test_seen_or_q95_K3_det25,failure_eval_ood_or_q95_K3_det,failure_eval_ood_or_q95_K3_det25,failure_eval_ood_or_q95_K3_mean_time,success_test_ood_score_q95_K3_fa,failure_eval_ood_score_q95_K3_det25,success_test_seen_score_q99_K3_fa,success_test_ood_score_q99_K3_fa,failure_eval_ood_score_q99_K3_det,success_test_seen_hardstop_q99_K3_fa,success_test_ood_hardstop_q99_K3_fa,failure_eval_ood_hardstop_q99_K3_det,failure_eval_ood_hardstop_q99_K3_det25
32,v2_023_tcn_k8_history_only,supervised,seq_tcn,0.725,1,0.0,0.0,0.5652173913043478,0.0,0.725,0.0,0.6777188328912467,0.0,0.0,0.0,0.0,0.0,,,,
33,v2_012_lstm_k16_long,supervised,seq_lstm,0.7212121212121212,1,0.007575757575757576,0.0,0.782608695652174,0.08695652173913043,0.725,0.0,0.6777188328912467,0.0,0.0,0.0,0.0,0.0,,,,
34,v2_003_tcn_k4_short,supervised,seq_tcn,0.7174242424242424,1,0.015151515151515152,0.0,0.7391304347826086,0.043478260869565216,0.725,0.0,0.6777188328912467,0.0,0.0,0.0,0.0,0.0,,,,
35,v2_015_gru_k16,supervised,seq_gru,0.7174242424242424,1,0.015151515151515152,0.0,0.782608695652174,0.043478260869565216,0.725,0.0,0.6777188328912467,0.0,0.0,0.0,0.0,0.0,,,,
36,v2_020_tcn_k8_no_current_ace,supervised,seq_tcn,0.7174242424242424,1,0.015151515151515152,0.0,0.7391304347826086,0.043478260869565216,0.725,0.0,0.6777188328912467,0.0,0.0,0.0,0.0,0.0,,,,
37,v2_029_tcn_k8_highdrop,supervised,seq_tcn,0.7174242424242424,1,0.015151515151515152,0.0,0.8260869565217391,0.0,0.725,0.0,0.6485411140583554,0.0,0.0,0.0,0.0,0.0,,,,
38,v2_037_groupdro_target_tcn_k8,supervised,seq_tcn,0.7174242424242424,1,0.015151515151515152,0.0,0.782608695652174,0.0,0.725,0.0,0.6777188328912467,0.0,0.0,0.0,0.0,0.05,,,,
39,v2_026_tcn_k8_seqstats_static,supervised,seq_tcn,0.7136363636363636,1,0.022727272727272728,0.0,0.6956521739130435,0.0,0.725,0.0,0.6777188328912467,0.0,0.0,0.0,0.0,0.0,,,,
40,v2_043_dynamics_survival_tcn_k8,supervised,seq_tcn,0.7136363636363636,1,0.022727272727272728,0.0,0.7391304347826086,0.043478260869565216,0.725,0.0,0.6777188328912467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,v2_007_tcn_k16_long,supervised,seq_tcn,0.7098484848484848,1,0.030303030303030304,0.0,0.782608695652174,0.043478260869565216,0.725,0.0,0.656498673740053,0.0,0.0,0.007575757575757576,0.0,0.0,,,,
42,v2_010_lstm_k4_short,supervised,seq_lstm,0.7098484848484848,1,0.030303030303030304,0.0,0.7391304347826086,0.0,0.725,0.0,0.6777188328912467,0.0,0.0,0.0,0.0,0.0,,,,
43,v2_013_lstm_k24_long,supervised,seq_lstm,0.7098484848484848,1,0.030303030303030304,0.0,0.782608695652174,0.043478260869565216,0.725,0.0,0.6777188328912467,0.0,0.0,0.0,0.0,0.0,,,,
44,v2_039_groupdro_suitefam_tcn_k8,supervised,seq_tcn,0.7098484848484848,1,0.030303030303030304,0.0,0.782608695652174,0.17391304347826086,0.725,0.0,0.6777188328912467,0.0,0.0,0.0,0.0,0.0,,,,
