Showing last 100 of 376 lines:
epoch=0341 train_loss=0.000511 val_seq_brier=0.165665 best=0.166084
epoch=0342 train_loss=0.000510 val_seq_brier=0.165539 best=0.165665
epoch=0343 train_loss=0.000508 val_seq_brier=0.165627 best=0.165539
epoch=0344 train_loss=0.000508 val_seq_brier=0.165172 best=0.165539
epoch=0345 train_loss=0.000509 val_seq_brier=0.165173 best=0.165172
epoch=0346 train_loss=0.000507 val_seq_brier=0.164867 best=0.165172
epoch=0347 train_loss=0.000506 val_seq_brier=0.164907 best=0.164867
epoch=0348 train_loss=0.000506 val_seq_brier=0.164733 best=0.164867
epoch=0349 train_loss=0.000506 val_seq_brier=0.164475 best=0.164733
epoch=0350 train_loss=0.000506 val_seq_brier=0.164542 best=0.164475
epoch=0351 train_loss=0.000504 val_seq_brier=0.164245 best=0.164475
epoch=0352 train_loss=0.000503 val_seq_brier=0.164110 best=0.164245
epoch=0353 train_loss=0.000504 val_seq_brier=0.163669 best=0.164110
epoch=0354 train_loss=0.000504 val_seq_brier=0.163836 best=0.163669
