split,policy,seen_success_fa,seen_failure_detection,seen_failure_det_at_25,seen_failure_det_at_50,ood_success_fa,ood_failure_detection,ood_failure_det_at_25,ood_failure_det_at_50,q95,q99,conformal_mass
all_tasks_random,base,0.0,0.0,0.0,0.0,,,,,0.9995635747909546,0.9999938011169434,0.15
all_tasks_random,unc_raw,0.05555555555555555,0.9333333333333333,0.12222222222222222,0.6277777777777778,,,,,0.9936720132827759,0.9999475479125977,0.15
all_tasks_random,avg_75base_25unc,0.05555555555555555,0.9277777777777778,0.12222222222222222,0.65,,,,,0.9947076439857483,0.9999678730964661,0.15
all_tasks_random,avg_50base_50unc,0.07222222222222222,0.9388888888888889,0.2,0.6833333333333333,,,,,0.9917106032371521,0.9999430775642395,0.15
all_tasks_random,max_base_unc,0.0,0.0,0.0,0.0,,,,,0.9996895790100098,0.9999938011169434,0.15
all_tasks_random,soft_veto_base_times_unc,0.11666666666666667,0.9555555555555556,0.3055555555555556,0.7166666666666667,,,,,0.9869926571846008,0.9999135136604309,0.15
all_tasks_random,mild_veto_unc_q95_or_base_q99,0.19444444444444445,0.9777777777777777,0.5166666666666667,0.8166666666666667,,,,,0.49996569752693176,0.9999938011169434,0.8741430044174194
all_tasks_random,hard_veto_unc_q95_or_base_q99,0.2,0.9777777777777777,0.5166666666666667,0.8166666666666667,,,,,3.0307530323625542e-05,0.9999938011169434,1.8740137815475464
ood_suite_libero90,base,0.06504065040650407,0.9097744360902256,0.5112781954887218,0.6466165413533834,0.31153846153846154,0.8192307692307692,0.4230769230769231,0.7269230769230769,0.9640066623687744,0.9960898160934448,0.15
ood_suite_libero90,unc_raw,0.056910569105691054,0.9097744360902256,0.46616541353383456,0.6616541353383458,0.3153846153846154,0.8538461538461538,0.4269230769230769,0.7461538461538462,0.9772858023643494,0.9987921714782715,0.15
ood_suite_libero90,avg_75base_25unc,0.056910569105691054,0.9097744360902256,0.518796992481203,0.6466165413533834,0.3192307692307692,0.8192307692307692,0.4269230769230769,0.7384615384615385,0.962487518787384,0.9966793060302734,0.15
ood_suite_libero90,avg_50base_50unc,0.04878048780487805,0.9097744360902256,0.5037593984962406,0.6240601503759399,0.3153846153846154,0.8192307692307692,0.4307692307692308,0.75,0.9648409485816956,0.9972817897796631,0.15
ood_suite_libero90,max_base_unc,0.04878048780487805,0.8947368421052632,0.48872180451127817,0.6691729323308271,0.2923076923076923,0.8461538461538461,0.3730769230769231,0.7423076923076923,0.9803426265716553,0.9987921714782715,0.15
ood_suite_libero90,soft_veto_base_times_unc,0.06504065040650407,0.9172932330827067,0.5639097744360902,0.6917293233082706,0.36153846153846153,0.8423076923076923,0.49615384615384617,0.7730769230769231,0.9374145269393921,0.994875967502594,0.15
ood_suite_libero90,mild_veto_unc_q95_or_base_q99,0.08943089430894309,0.9699248120300752,0.6240601503759399,0.8571428571428571,0.5538461538461539,0.9423076923076923,0.6538461538461539,0.8846153846153846,0.5215802788734436,0.9960898160934448,0.15
ood_suite_libero90,hard_veto_unc_q95_or_base_q99,0.08943089430894309,0.9699248120300752,0.6240601503759399,0.8571428571428571,0.5576923076923077,0.9423076923076923,0.6538461538461539,0.8846153846153846,0.4336688816547394,0.9960898160934448,0.15
ood_task_holdout,base,0.15,0.9555555555555556,0.4222222222222222,0.8333333333333334,0.11923076923076924,0.8145161290322581,0.03225806451612903,0.49193548387096775,0.9123116135597229,0.9837687015533447,0.24075821042060852
ood_task_holdout,unc_raw,0.016666666666666666,0.8777777777777778,0.0,0.42777777777777776,0.019230769230769232,0.6290322580645161,0.0,0.07258064516129033,0.9958972334861755,0.9996528029441833,0.15
ood_task_holdout,avg_75base_25unc,0.12222222222222222,0.9555555555555556,0.39444444444444443,0.7777777777777778,0.08846153846153847,0.7903225806451613,0.024193548387096774,0.49193548387096775,0.9196597933769226,0.987026572227478,0.34865522384643555
ood_task_holdout,avg_50base_50unc,0.11666666666666667,0.9555555555555556,0.37222222222222223,0.7555555555555555,0.08846153846153847,0.7983870967741935,0.024193548387096774,0.4838709677419355,0.9386155605316162,0.9909628033638,0.3244633078575134
ood_task_holdout,max_base_unc,0.016666666666666666,0.8777777777777778,0.0,0.42777777777777776,0.019230769230769232,0.6290322580645161,0.0,0.07258064516129033,0.9958972334861755,0.9996528029441833,0.15
ood_task_holdout,soft_veto_base_times_unc,0.11666666666666667,0.9555555555555556,0.37222222222222223,0.7666666666666667,0.08461538461538462,0.7983870967741935,0.024193548387096774,0.4838709677419355,0.8834177851676941,0.9820975661277771,0.582631528377533
ood_task_holdout,mild_veto_unc_q95_or_base_q99,0.1388888888888889,0.9611111111111111,0.35,0.8277777777777777,0.1,0.8387096774193549,0.04032258064516129,0.5725806451612904,0.49113669991493225,0.9837687015533447,2.3444552421569824
ood_task_holdout,hard_veto_unc_q95_or_base_q99,0.1388888888888889,0.9611111111111111,0.35,0.8277777777777777,0.1,0.8387096774193549,0.04032258064516129,0.5725806451612904,0.48737621307373047,0.9837687015533447,2.364949941635132
