Method,TWA,Accuracy,Det. Time,Window,HID,Threshold,TWA_std,Accuracy_std,Det. Time_std,TPR,TPR_std,TNR,TNR_std
entropy,0.639,0.817,0.356,29,0,tvt_quantile,0.0,0.0,0.0,1.0,0.0,0.634,0.0
rnd_oe_and_entropy,0.622,0.782,0.368,48/11,0,tvt_quantile,0.022,0.044,0.049,0.862,0.091,0.702,0.004
rnd_oe,0.552,0.611,0.13,48,0,tvt_quantile,0.025,0.043,0.07,0.865,0.091,0.356,0.009
