canonical_split,policy,topk,best_epoch,success_fa,failure_detection,failure_det_at_25,failure_det_at_50,failure_mean_detection_time,q95,q99,conformal_mass
all_tasks_full,unc_topk8,8,3,0.15009746588693956,0.9746835443037974,0.6497890295358649,0.8945147679324894,0.20473304473304474,0.8500646352767944,0.9937206506729126,0.15
all_tasks_full,unc_topk16,16,2,0.15594541910331383,0.9789029535864979,0.6118143459915611,0.869198312236287,0.22576149425287356,0.8315468430519104,0.9900042414665222,0.15
all_tasks_full,unc_topk32,32,4,0.18908382066276802,0.9789029535864979,0.6540084388185654,0.8987341772151899,0.20257183908045978,0.7940560579299927,0.9938433170318604,0.25628989934921265
ood_last2_taskids_full,unc_topk8,8,1,0.2297872340425532,0.8924731182795699,0.3763440860215054,0.7741935483870968,0.33911646586345384,0.7502794861793518,0.9744974970817566,0.1734538972377777
ood_last2_taskids_full,unc_topk16,16,1,0.2936170212765957,0.8924731182795699,0.27956989247311825,0.7204301075268817,0.3660240963855421,0.8096828460693359,0.98213791847229,0.20569147169589996
ood_last2_taskids_full,unc_topk32,32,2,0.2127659574468085,0.8064516129032258,0.22580645161290322,0.6989247311827957,0.3657777777777778,0.8641570210456848,0.9908764958381653,0.15
