name,group,width,layers,heads,history_steps,dropout,best_epoch,epochs_run,train_loss_best,train_loss_final,val_auroc_best,val_score_best,val_score_final,degraded_after_best,peaked_by_5,peaked_by_10,q95,mass_threshold,success_test_seen_episodes,success_test_seen_alarm_rate,success_test_ood_episodes,success_test_ood_alarm_rate,failure_eval_ood_episodes,failure_det_rate,failure_det_at_10,failure_det_at_25,failure_det_at_50,failure_mean_time_detected_only,failure_never_rate,balanced_score,feature_hygiene_pass,beats_ood_fa,keeps_det_within_5pct,keeps_det50_within_5pct,improves_det25,scale_candidate,job_dir
existing_real_v2_018,existing,128,3,4,16,0.1,1,19,0.3048970189884426,0.05936162141189585,0.9193622202256164,0.8306655616143188,0.7757804348415216,True,True,True,0.5135485529899597,0.08939498662948608,136,0.15441176470588236,211,0.2559241706161137,42,0.9523809523809523,0.0,0.2619047619047619,0.8571428571428571,0.33225,0.04761904761904767,2.253193576008602,True,False,True,True,False,False,experiments/clean_temporal_nextgen_v2_full_all_20260527/fold_00_holdout_alphabet_soup_bbq_sauce/jobs/v2_018_transformer_k16
cap_00_current_reproduce,big,128,3,4,16,0.1,5,23,0.1463383925639517,0.050648468591999715,0.9154271897773785,0.8340849024157566,0.7817513739968631,True,True,True,0.7241250276565552,0.6339913606643677,136,0.16176470588235295,211,0.2890995260663507,42,0.9523809523809523,0.0,0.23809523809523808,0.8333333333333334,0.34375000000000006,0.04761904761904767,2.1164207389116783,True,False,True,True,False,False,experiments/transformer_capacity_history_sweep_fold00_v1_20260528/jobs/cap_00_current_reproduce
cap_01_medium_k16,big,192,4,6,16,0.1,1,19,0.2790214969375269,0.02803341971664894,0.9278190675851054,0.8441999498482889,0.809378767839322,True,True,True,0.5222091674804688,0.29154521226882935,136,0.17647058823529413,211,0.2796208530805687,42,0.9523809523809523,0.0,0.2857142857142857,0.9047619047619048,0.3249166666666666,0.04761904761904767,2.3256667595948333,True,False,True,True,True,False,experiments/transformer_capacity_history_sweep_fold00_v1_20260528/jobs/cap_01_medium_k16
cap_02_large_k16,big,256,4,8,16,0.1,1,19,0.2727525067644391,0.022700997563533304,0.9199697474293701,0.8353493536167137,0.7888587096030752,True,True,True,0.5796595215797424,0.2472105622291565,136,0.16176470588235295,211,0.2890995260663507,42,0.9285714285714286,0.0,0.21428571428571427,0.8809523809523809,0.3313675213675214,0.0714285714285714,2.0926112151021545,True,False,True,True,False,False,experiments/transformer_capacity_history_sweep_fold00_v1_20260528/jobs/cap_02_large_k16
cap_03_medium_k32,big,192,4,6,32,0.1,2,20,0.17392979610741624,0.013182964668101897,0.9276059898173106,0.8521465765868914,0.8167811716557803,True,True,True,0.7579392194747925,0.0,136,1.0,211,1.0,42,1.0,1.0,1.0,1.0,0.0,0.0,2.5,True,False,True,True,True,False,experiments/transformer_capacity_history_sweep_fold00_v1_20260528/jobs/cap_03_medium_k32
cap_04_large_k32,big,256,6,8,32,0.1,1,19,0.259763754964844,0.01065638282869155,0.9254295058400719,0.8421931542308418,0.8034651803471008,True,True,True,0.44617360830307007,0.07590967416763306,136,0.21323529411764705,211,0.4312796208530806,42,0.9761904761904762,0.0,0.14285714285714285,0.9285714285714286,0.33414634146341465,0.023809523809523836,1.8774153026139362,True,False,True,True,False,False,experiments/transformer_capacity_history_sweep_fold00_v1_20260528/jobs/cap_04_large_k32
cap_05_wide_lowdrop_k16,big,256,4,8,16,0.05,3,21,0.14523359769728125,0.015261994569744097,0.9082690146750524,0.8169368025845601,0.8126532430684197,True,True,True,0.6089023947715759,0.7853752374649048,136,0.16176470588235295,211,0.2890995260663507,42,0.9523809523809523,0.0,0.35714285714285715,0.8809523809523809,0.30575,0.04761904761904767,2.4259445484354876,True,False,True,True,True,False,experiments/transformer_capacity_history_sweep_fold00_v1_20260528/jobs/cap_05_wide_lowdrop_k16
cap_06_tiny_k16,small,64,2,4,16,0.1,4,22,0.21861003872340287,0.11742471909619928,0.9177154437456324,0.8277100235972598,0.7918676005167387,True,True,True,0.45708492398262024,0.4057462215423584,136,0.1323529411764706,211,0.3175355450236967,42,0.9285714285714286,0.0,0.21428571428571427,0.8809523809523809,0.32085470085470097,0.0714285714285714,2.064663069019077,True,False,True,True,False,False,experiments/transformer_capacity_history_small_sweep_fold00_v1_20260528/jobs/cap_06_tiny_k16
cap_07_small_k16,small,96,2,4,16,0.1,3,21,0.2155925609716555,0.09080406809907134,0.9217888948787062,0.837040991829714,0.8176896159292586,True,True,True,0.4701806604862213,0.12322145700454712,136,0.19117647058823528,211,0.33649289099526064,42,0.9523809523809523,0.0,0.3333333333333333,0.8809523809523809,0.31500000000000006,0.04761904761904767,2.2925295710701343,True,False,True,True,True,False,experiments/transformer_capacity_history_small_sweep_fold00_v1_20260528/jobs/cap_07_small_k16
cap_08_shallow_k16,small,128,1,4,16,0.1,7,25,0.1889181712839177,0.1056318689228558,0.913821008285914,0.8255863750785928,0.7929560982948088,True,False,True,0.4987652003765106,0.28013303875923157,136,0.16911764705882354,211,0.3175355450236967,42,0.9761904761904762,0.0,0.19047619047619047,0.8809523809523809,0.3398373983739837,0.023809523809523836,2.093899763696948,True,False,True,True,False,False,experiments/transformer_capacity_history_small_sweep_fold00_v1_20260528/jobs/cap_08_shallow_k16
