variant,episode_id,decision_index,main_risk,best_alt_risk,best_alt_index,selected_candidate_index,intervention,final_episode_success,threshold_a,threshold_c,threshold_m,main_alarm,best_alt_below_cap,risk_margin_main_minus_best
c090_primary,000000,0,0.3109145760536194,0.3003043234348297,1,0,False,True,0.8792325258255005,0.9,0.0,False,True,0.010610252618789673
c090_primary,000000,1,0.18888048827648163,0.19177594780921936,1,0,False,True,0.8792325258255005,0.9,0.0,False,True,-0.002895459532737732
c090_primary,000000,2,0.06854981929063797,0.0654052272439003,5,0,False,True,0.8792325258255005,0.9,0.0,False,True,0.003144592046737671
c090_primary,000000,3,0.11894237250089645,0.11300130933523178,3,0,False,True,0.8792325258255005,0.9,0.0,False,True,0.005941063165664673
c090_primary,000000,4,0.12830546498298645,0.12494737654924393,4,0,False,True,0.8792325258255005,0.9,0.0,False,True,0.003358088433742523
c090_primary,000000,5,0.11429420858621597,0.11355529725551605,1,0,False,True,0.8792325258255005,0.9,0.0,False,True,0.0007389113306999207
c090_primary,000000,6,0.14393475651741028,0.13944774866104126,1,0,False,True,0.8792325258255005,0.9,0.0,False,True,0.0044870078563690186
c090_primary,000000,7,0.08103595674037933,0.08063289523124695,6,0,False,True,0.8792325258255005,0.9,0.0,False,True,0.00040306150913238525
c090_primary,000000,8,0.04307221248745918,0.04332035407423973,6,0,False,True,0.8792325258255005,0.9,0.0,False,True,-0.0002481415867805481
c090_primary,000000,9,0.07965878397226334,0.080123670399189,4,0,False,True,0.8792325258255005,0.9,0.0,False,True,-0.0004648864269256592
c090_primary,000000,10,0.0923805683851242,0.09025730937719345,7,0,False,True,0.8792325258255005,0.9,0.0,False,True,0.0021232590079307556
c090_primary,000000,11,0.07217053323984146,0.065828338265419,6,0,False,True,0.8792325258255005,0.9,0.0,False,True,0.006342194974422455
c090_primary,000000,12,0.047754429280757904,0.04424991086125374,3,0,False,True,0.8792325258255005,0.9,0.0,False,True,0.0035045184195041656
c090_primary,000000,13,0.02687082253396511,0.02475908398628235,5,0,False,True,0.8792325258255005,0.9,0.0,False,True,0.002111738547682762
c090_primary,000001,0,0.3142215609550476,0.30396148562431335,8,0,False,False,0.8792325258255005,0.9,0.0,False,True,0.010260075330734253
c090_primary,000001,1,0.35213738679885864,0.35403385758399963,6,0,False,False,0.8792325258255005,0.9,0.0,False,True,-0.0018964707851409912
