variant,experiment_id,episode_id,success,outcome,minimum_tcp_distance_m,control_ticks,simulation_steps,decision_rows,scene_fingerprint
historical_ood150_baseline,EXP-014,000079,False,FAILURE,0.29147765040397644,600,2400,60,4ded8dac67c822d040af9caabdd5b00260c334b0694faa4e5a0d9aea278c6d71
historical_ood150_baseline,EXP-014,000080,True,SUCCESS,0.006790678482502699,166,664,17,68b0f861767d56dd57177f043c9b7e90cf3abbbf6ec13a889cc2ab99479077f9
historical_ood150_baseline,EXP-014,000081,False,FAILURE,0.40093591809272766,600,2400,60,938ea93d18b6ab1db3377f659d183961fa9ba34b98c1a81810580203ea07c417
historical_ood150_baseline,EXP-014,000082,True,SUCCESS,0.0028922369237989187,160,640,16,f7e0f5e690e8a073b96fd4b89e32cf6546ec960619cf920672915fc09aa01868
historical_ood150_baseline,EXP-014,000083,True,SUCCESS,0.008065534755587578,149,594,15,96a53f00b471a95494db8be160b78bc879247c98a45b75ca903257c65faab4b5
historical_ood150_baseline,EXP-014,000084,False,FAILURE,0.021531732752919197,600,2400,60,7354fef31e1439971504a67958319b7da76410acae756447af9fff2d90b45bde
historical_ood150_baseline,EXP-014,000087,False,FAILURE,0.07410725206136703,600,2400,60,98dd91232f8cebee0f2ecb73a7d8df5a4932fea8a972ec59c5bfbad8d5d434fc
historical_ood150_baseline,EXP-014,000088,False,FAILURE,0.2614269256591797,600,2400,60,72d4445c12f0435cd64425d9009a3e78e24ae6509bb086cc5fa38ee9b526b4d1
historical_ood150_baseline,EXP-014,000089,True,SUCCESS,0.009874703362584114,146,581,15,c2a66793735923bd1fbc1f9775f4de4aae937b281617c0c76d6c2efab5731a1a
historical_ood150_baseline,EXP-014,000090,False,FAILURE,0.020226748660206795,600,2400,60,c7e46425ec69ba5bab3bd2262c4635ed431107d6da02ad1ebef2b857fb012a31
historical_ood150_baseline,EXP-014,000092,True,SUCCESS,0.008226380683481693,173,692,18,c3d1bee80ec1354e6939a3b44fdb0c6419613f14d316108b5e6a802829e4004f
historical_ood150_baseline,EXP-014,000093,False,FAILURE,0.14503805339336395,600,2400,60,83e6d9b974ae064cac24c99f50cb57e06af9b80d3f85fa6a75a16a8dd7c537bc
historical_ood150_baseline,EXP-014,000094,False,FAILURE,0.22469592094421387,600,2400,60,5b31539777274ef7c2fe74e34e7c5064db2f42269b7f2cea5a3e021fc4705726
historical_ood150_baseline,EXP-014,000097,False,FAILURE,0.40691399574279785,600,2400,60,8838af6658dc65a847a0a370d28753aeaaf5a8920b9ed4b248078536d94e61db
historical_ood150_baseline,EXP-014,000098,True,SUCCESS,0.002640955150127411,168,669,17,a77519c08923fc45a062132eea5dddf4d6126e35cc5da756f4413d16718ec527
historical_ood150_baseline,EXP-014,000099,True,SUCCESS,0.010932047851383686,77,305,8,abb84a9f21e10c3627ba366bd06fcd04339e501997872be73ae002e63857eb09
historical_ood150_baseline,EXP-014,000102,False,FAILURE,0.12234392017126083,600,2400,60,302bd43f43b2a26328d13435c7d65928028fad72232e7419f3f63b65beeb8909
historical_ood150_baseline,EXP-014,000103,False,FAILURE,0.021214455366134644,600,2400,60,1bd801ff8b16e4f62157fb22c34b07e5fdd0cce20d5f9a407669bba32fe79f9d
historical_ood150_baseline,EXP-014,000104,False,FAILURE,0.16689008474349976,600,2400,60,e5cd08d36fd65c45dc1b1fe2b0bd6f87f661205bf1e3fe64d709a7a2ce2132da
historical_ood150_baseline,EXP-014,000106,False,FAILURE,0.06524692475795746,600,2400,60,f078194ea5099271122650a95b9daadb200be12f2d50a73d32b2f0c1d7c58bd1
historical_ood150_baseline,EXP-014,000111,True,SUCCESS,0.019350463524460793,167,666,17,4814a7be37f68fd790017c013760330bd1b47c017d780c5964fb296f144980fb
historical_ood150_baseline,EXP-014,000112,False,FAILURE,0.05003609508275986,600,2400,60,341e86bbfd69f5cc5dfc2f6271f6d18c2772ee1a58db11f96fd1f7c2cae5a816
historical_ood150_baseline,EXP-014,000114,False,FAILURE,0.02153610996901989,600,2400,60,12bff75a685ee07e6448f9f8567b5b079a3d2b163df8dd747214de654066f587
historical_ood150_baseline,EXP-014,000119,True,SUCCESS,0.003419088199734688,144,576,15,13a4ebd1535268f0131bc4f09ade7fefc018107ac0fbd9585e837cd7ca8394c3
historical_ood150_baseline,EXP-014,000120,True,SUCCESS,0.014686823822557926,132,525,14,adb9151a709332366782b6b98eeff72edeb19436979460846e810f58f2ed5bde
historical_ood150_baseline,EXP-014,000122,True,SUCCESS,0.019203774631023407,170,680,17,e67d2e82d87627486da810cd0675ff19cde77bed1248a98c69b2600dfa8e4709
historical_ood150_baseline,EXP-014,000123,True,SUCCESS,0.010507022961974144,187,748,19,1ec1fea670245ffc47cc082ff10e8d869eda5b605da2cb88a2d69a8563d7b25f
historical_ood150_baseline,EXP-014,000124,False,FAILURE,0.07331390678882599,600,2400,60,5b65adad158cff1ee60f2645242f0b84c5eaf868c0c9383dd92478d6e9906437
historical_ood150_baseline,EXP-014,000126,True,SUCCESS,0.015502406284213066,138,551,14,9cfc415a31a1176381a4f6391a5f520540b331aec3e9aca0112dc362d7e3560c
historical_ood150_baseline,EXP-014,000128,False,FAILURE,0.22843970358371735,600,2400,60,0430ed463ea13f0a1912d9662966779412407a5b6e7430ceaa606a643ef99274
historical_ood150_baseline,EXP-014,000129,False,FAILURE,0.40275174379348755,600,2400,60,8d312d3187814119fa90a7c547a84964911d0dc4cb5f2e9248f072d5178ce0d0
historical_ood150_baseline,EXP-014,000130,True,SUCCESS,0.00404321076348424,179,713,18,d9bf602bf0db67886b6e30cae029f652e309a9741634dee9b7ba768ce8575e00
historical_ood150_baseline,EXP-014,000131,True,SUCCESS,0.008609588257968426,157,627,16,a3c3f9e45928c95acc3c838cc8bcb51a60476fda3e39f36f520537ebabf4de97
historical_ood150_baseline,EXP-014,000136,True,SUCCESS,0.017145346850156784,192,766,20,e5f32c5bfbf49172bde39d6f2d7fc2525fa37b053668497db789e26a15cfb25d
historical_ood150_baseline,EXP-014,000138,False,FAILURE,0.05278371647000313,600,2400,60,8bae9425e372fb3423b27124426ef35a7b8e31e05ed3a8c37f0b23a87e681b9a
historical_ood150_baseline,EXP-014,000139,True,SUCCESS,0.016497593373060226,182,725,19,c265b54e6d48df7de4d2eb44a929a69e99b3b05a5fc57f6e992dde129c57dfa8
historical_ood150_baseline,EXP-014,000140,True,SUCCESS,0.014798418618738651,191,762,20,7400ffdba128936a47115507b6d960f8f6b312d7a92494e7c540bd4499206a2c
historical_ood150_baseline,EXP-014,000141,False,FAILURE,0.19648239016532898,600,2400,60,a9b790cd79eb294d0c4d7bd292414e8d1a59cbd7b8fe7559752304dcc3b5b3ce
historical_ood150_baseline,EXP-014,000144,False,FAILURE,0.10943375527858734,600,2400,60,4944607634c34cc94deaafd1034ff42f468490592a55ca164a5a8bfdb104f908
historical_ood150_baseline,EXP-014,000145,False,FAILURE,0.36941099166870117,600,2400,60,726d485a3bd40a2d6eabcb30abe59e27340cea3f550345691867aa4bd06f0adb
historical_ood150_baseline,EXP-014,000147,True,SUCCESS,0.007889270782470703,164,654,17,20edadbaf5db592cf167853b81d3c0e955c6b29b4622645236b19b8c1bb65f26
historical_ood150_baseline,EXP-014,000154,True,SUCCESS,0.01966739259660244,167,668,17,531d267e87359ebdc08c128c560ea48175a12de7a3b5a18e139694813bd73ceb
historical_ood150_baseline,EXP-014,000159,True,SUCCESS,0.003915388137102127,179,714,18,be5d7da3e8f89c3cd8cbfffa90526440ba885803fef9b12404c284ea3cf215fb
historical_ood150_baseline,EXP-014,000161,False,FAILURE,0.3709773123264313,600,2400,60,51422e424dd35e5e9b1d4052d7b9a9f6ec1da18ac6153e0e8aeedf0310c086ed
historical_ood150_baseline,EXP-014,000163,False,FAILURE,0.048280954360961914,600,2400,60,6ca83d510e3492b3b6f7cddde732ed1d31367cf7f185abfae4e77f789af213eb
historical_ood150_baseline,EXP-014,000164,True,SUCCESS,0.014568550512194633,162,645,17,51f3eb6f8383b49f761f4b8549191c1bd04476a7dc7bc71ffd265d3e4f91b6ef
historical_ood150_baseline,EXP-014,000165,True,SUCCESS,0.019588928669691086,200,797,20,304532d646347f23b07d4e8d0a5180d8e1ef63ec2d840090bb3092e5dcd1b9b9
historical_ood150_baseline,EXP-014,000170,False,FAILURE,0.029708122834563255,600,2400,60,ab70256b56193ac603304baae5dbc92f418223662f27e42c74964678bd9b79c2
historical_ood150_baseline,EXP-014,000177,False,FAILURE,0.40340930223464966,600,2400,60,22b0ec90b8b8f32844bf917c59be938a156f69ec90ec8aae8feb0d4c0419f7fc
historical_ood150_baseline,EXP-014,000184,False,FAILURE,0.13725785911083221,600,2400,60,c34dae29a5e44e16e402a8add453944c46cd7de942910d0d11abda8f9bff053c
historical_ood150_baseline,EXP-014,000185,True,SUCCESS,0.018646622076630592,180,717,18,56ab604ee2d02508fe3366b6a219ae598f02f6f458a50edf31ed91d71fb54a86
historical_ood150_baseline,EXP-014,000195,False,FAILURE,0.023535264655947685,600,2400,60,3c30ac17bd70a1953c7095c61b7e3e04f9ac837c478038914d8e5b816daa46e7
historical_ood150_baseline,EXP-014,000198,False,FAILURE,0.034017033874988556,600,2400,60,ecde7fce711ed842b55421fcb42e70d323047581ca6514d58f0121c6d714ced6
historical_ood150_baseline,EXP-014,000201,True,SUCCESS,0.0015190208796411753,158,630,16,2c0c3df9139725415caa0aa8e9e2e38d584b2265df88cb78b2d623da9ce842b9
historical_ood150_baseline,EXP-014,000204,True,SUCCESS,0.008555052801966667,184,735,19,d2e2e0e7b6107a37b10789d48f4f8d6f42b2d49a8d28aa3157ad8e2467597fac
historical_ood150_baseline,EXP-014,000207,False,FAILURE,0.1758628934621811,600,2400,60,f46782865f71f7a633a52dc2061006dab899c86017b0094cc053ec8cd4b11938
historical_ood150_baseline,EXP-014,000211,True,SUCCESS,0.009997492656111717,156,624,16,3c311bc13191d276720b717e716373e3c642b29f2e743d48afa56e256a91d45c
historical_ood150_baseline,EXP-014,000212,False,FAILURE,0.37417811155319214,600,2400,60,1ecbb42d8f9a83354c8ea7d83698d3c06413ae7acf86533e2a28b0a365c8f00d
historical_ood150_baseline,EXP-014,000213,False,FAILURE,0.38200899958610535,600,2400,60,6fa55d8d2a05ecb476629cfec1ceea97706d3a6253a1987fdf779d9163f844fd
historical_ood150_baseline,EXP-014,000217,True,SUCCESS,0.006110243499279022,111,441,12,26b50a68d80db239fd1fb0037e0382412d1d78a023f8b4a90e3250afa4dba828
historical_ood150_baseline,EXP-014,000218,True,SUCCESS,0.0115974647924304,171,681,18,dee34730c5ccb549fd6e3fb84719e0ba1e155b2e70a018d8150770080cef20aa
historical_ood150_baseline,EXP-014,000221,False,FAILURE,0.43833255767822266,600,2400,60,92b90e3c39b12b697ba0b6a67508ba55a1d58c3c395d0a6b3ba8458058f05582
historical_ood150_baseline,EXP-014,000222,True,SUCCESS,0.0030530437361449003,168,672,17,ce0874acdb0ea8ed6375d4186fa140e24c9c4ee6949a908fd70b71c681920014
historical_ood150_baseline,EXP-014,000225,False,FAILURE,0.4064961075782776,600,2400,60,10f5e8d038e25c7586b01c8c3014f8e240332e0e625e0de0215c3d76e3bb6240
historical_ood150_baseline,EXP-014,000226,False,FAILURE,0.025845160707831383,600,2400,60,cce0ef284bb6c9fed2d93ad46999ee61da7a43bf6b8c8083df63b7240a42a0da
