variant,experiment_id,episode_id,benchmark_episode_id,success,outcome,minimum_tcp_distance_m,control_ticks,simulation_steps,decision_rows,scene_fingerprint,intervention_count,baseline_success,paired_category_vs_baseline,paired_category_vs_other_controller
c090_primary,EXP-009,000097,97,False,FAILURE,0.15346048772335052,350,1400,35,dc6ec95093d58f33b54a7ecf720d85079780a464e563fd199d445801376a359e,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000097,97,False,FAILURE,0.18348614871501923,350,1400,35,dc6ec95093d58f33b54a7ecf720d85079780a464e563fd199d445801376a359e,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000098,98,False,FAILURE,0.4400968849658966,350,1400,35,062438c95df10c6af7043c230e12ab1afd83b519f01560a0ccb5626e0053ca2e,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000098,98,False,FAILURE,0.44076675176620483,350,1400,35,062438c95df10c6af7043c230e12ab1afd83b519f01560a0ccb5626e0053ca2e,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000098,98,False,FAILURE,0.4402771294116974,350,1400,35,062438c95df10c6af7043c230e12ab1afd83b519f01560a0ccb5626e0053ca2e,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000099,99,False,FAILURE,0.1896696537733078,350,1400,35,6562042c3ed9d9927ad06144732ddba0c1429d61786e8006b1e1c1f0a110cdc3,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000099,99,False,FAILURE,0.1999090164899826,350,1400,35,6562042c3ed9d9927ad06144732ddba0c1429d61786e8006b1e1c1f0a110cdc3,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000099,99,False,FAILURE,0.1846458911895752,350,1400,35,6562042c3ed9d9927ad06144732ddba0c1429d61786e8006b1e1c1f0a110cdc3,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000100,100,False,FAILURE,0.325239360332489,350,1400,35,5c66352ade02280eebd01b77357d092eaae9dd54964c215bfcaa18ff55f809b5,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000100,100,False,FAILURE,0.3361876904964447,350,1400,35,5c66352ade02280eebd01b77357d092eaae9dd54964c215bfcaa18ff55f809b5,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000100,100,False,FAILURE,0.33396250009536743,350,1400,35,5c66352ade02280eebd01b77357d092eaae9dd54964c215bfcaa18ff55f809b5,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000101,101,False,FAILURE,0.049557942897081375,350,1400,35,72b428fc59215e8f510bfc569a62cd3758f71129b1bcb5a0f9d2ba35148c6aa9,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000101,101,True,SUCCESS,0.029778292402625084,125,498,13,72b428fc59215e8f510bfc569a62cd3758f71129b1bcb5a0f9d2ba35148c6aa9,0,False,F_TO_S_RESCUE,C090_ONLY_SUCCEEDS
q95_symmetric,EXP-010,000101,101,False,FAILURE,0.030430803075432777,350,1400,35,72b428fc59215e8f510bfc569a62cd3758f71129b1bcb5a0f9d2ba35148c6aa9,0,False,F_TO_F,C090_ONLY_SUCCEEDS
baseline,EXP-008,000102,102,True,SUCCESS,0.02967127412557602,170,678,17,d6b12a9f4375ef14cb00d8de0029ed9e3bd13bdecaa3da2490f01509b3dbc31b,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000102,102,False,FAILURE,0.032086245715618134,350,1400,35,d6b12a9f4375ef14cb00d8de0029ed9e3bd13bdecaa3da2490f01509b3dbc31b,0,True,S_TO_F_REGRESSION,BOTH_FAIL
q95_symmetric,EXP-010,000102,102,False,FAILURE,0.032459557056427,350,1400,35,d6b12a9f4375ef14cb00d8de0029ed9e3bd13bdecaa3da2490f01509b3dbc31b,0,True,S_TO_F_REGRESSION,BOTH_FAIL
baseline,EXP-008,000103,103,True,SUCCESS,0.029967250302433968,159,636,16,cec77e39ba56edead2f6e623df08963e5705ddcb6450fe5c66a718c53a29bf0d,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000103,103,True,SUCCESS,0.029771756380796432,159,635,16,cec77e39ba56edead2f6e623df08963e5705ddcb6450fe5c66a718c53a29bf0d,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000103,103,True,SUCCESS,0.029413927346467972,160,638,16,cec77e39ba56edead2f6e623df08963e5705ddcb6450fe5c66a718c53a29bf0d,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000104,104,True,SUCCESS,0.029932182282209396,122,485,13,d7fb751b1f9e5bff7185261ae299e2ee85f848add4240813972a67e348f62f8f,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000104,104,True,SUCCESS,0.029988519847393036,119,475,12,d7fb751b1f9e5bff7185261ae299e2ee85f848add4240813972a67e348f62f8f,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000104,104,True,SUCCESS,0.029506782069802284,120,478,12,d7fb751b1f9e5bff7185261ae299e2ee85f848add4240813972a67e348f62f8f,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000105,105,False,FAILURE,0.26954537630081177,350,1400,35,1362e442825ebe0a4c6bfbad42f9550b8b8aafa7016dfd98e014b0380d945d17,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000105,105,False,FAILURE,0.2702999711036682,350,1400,35,1362e442825ebe0a4c6bfbad42f9550b8b8aafa7016dfd98e014b0380d945d17,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000105,105,False,FAILURE,0.04976304993033409,350,1400,35,1362e442825ebe0a4c6bfbad42f9550b8b8aafa7016dfd98e014b0380d945d17,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000106,106,False,FAILURE,0.07994097471237183,350,1400,35,86c93456e701d22a59c429827c525ff55aef13f9c51948fe213791dd41b7d2d9,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000106,106,False,FAILURE,0.07973495870828629,350,1400,35,86c93456e701d22a59c429827c525ff55aef13f9c51948fe213791dd41b7d2d9,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000106,106,False,FAILURE,0.0802454799413681,350,1400,35,86c93456e701d22a59c429827c525ff55aef13f9c51948fe213791dd41b7d2d9,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000107,107,True,SUCCESS,0.029514480382204056,174,693,18,c2357e6ffa1857e3cd3fc4d4702f2815e3fb39f4c5e90336d1f2d7949f54d5ed,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000107,107,False,FAILURE,0.3758607804775238,350,1400,35,c2357e6ffa1857e3cd3fc4d4702f2815e3fb39f4c5e90336d1f2d7949f54d5ed,0,True,S_TO_F_REGRESSION,BOTH_FAIL
q95_symmetric,EXP-010,000107,107,False,FAILURE,0.37661418318748474,350,1400,35,c2357e6ffa1857e3cd3fc4d4702f2815e3fb39f4c5e90336d1f2d7949f54d5ed,0,True,S_TO_F_REGRESSION,BOTH_FAIL
baseline,EXP-008,000108,108,True,SUCCESS,0.029531020671129227,189,753,19,eda452e8ff75ab1d990baf5929830b19abbbc556c3f56b5f81db49648b1e7b08,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000108,108,True,SUCCESS,0.02981785126030445,187,746,19,eda452e8ff75ab1d990baf5929830b19abbbc556c3f56b5f81db49648b1e7b08,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000108,108,True,SUCCESS,0.029573405161499977,186,744,19,eda452e8ff75ab1d990baf5929830b19abbbc556c3f56b5f81db49648b1e7b08,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000109,109,False,FAILURE,0.23764894902706146,350,1400,35,a845580d3a1d4adcf110a0950911b7d94db5fb722d6a37b3c4a44cca35529507,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000109,109,False,FAILURE,0.2321007251739502,350,1400,35,a845580d3a1d4adcf110a0950911b7d94db5fb722d6a37b3c4a44cca35529507,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000109,109,False,FAILURE,0.23756857216358185,350,1400,35,a845580d3a1d4adcf110a0950911b7d94db5fb722d6a37b3c4a44cca35529507,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000110,110,False,FAILURE,0.33756113052368164,350,1400,35,42f2c648f2d8efd56a691d0240ac3b425634da472f13a2bb772eb4ab436ba72a,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000110,110,False,FAILURE,0.34131109714508057,350,1400,35,42f2c648f2d8efd56a691d0240ac3b425634da472f13a2bb772eb4ab436ba72a,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000110,110,False,FAILURE,0.3271121382713318,350,1400,35,42f2c648f2d8efd56a691d0240ac3b425634da472f13a2bb772eb4ab436ba72a,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000111,111,False,FAILURE,0.3025306165218353,350,1400,35,530415488b88dd7e320598b152356fb2a9068de64dd03be803643920c8f65ba6,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000111,111,False,FAILURE,0.30254679918289185,350,1400,35,530415488b88dd7e320598b152356fb2a9068de64dd03be803643920c8f65ba6,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000111,111,False,FAILURE,0.06422789394855499,350,1400,35,530415488b88dd7e320598b152356fb2a9068de64dd03be803643920c8f65ba6,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000112,112,False,FAILURE,0.21772260963916779,350,1400,35,11d102fbb13d0eb88f374b130bf3aee0ca03ed42eb29720a9c804e163a1cf56c,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000112,112,False,FAILURE,0.050277307629585266,350,1400,35,11d102fbb13d0eb88f374b130bf3aee0ca03ed42eb29720a9c804e163a1cf56c,0,False,F_TO_F,Q95_ONLY_SUCCEEDS
q95_symmetric,EXP-010,000112,112,True,SUCCESS,0.02933216094970703,164,653,17,11d102fbb13d0eb88f374b130bf3aee0ca03ed42eb29720a9c804e163a1cf56c,0,False,F_TO_S_RESCUE,Q95_ONLY_SUCCEEDS
baseline,EXP-008,000113,113,True,SUCCESS,0.02918749675154686,179,716,18,5bfab79e9c33418978ae8b3f989d4bd648fde49d0958f0c116f2e7a2a967fc11,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000113,113,True,SUCCESS,0.029690777882933617,179,713,18,5bfab79e9c33418978ae8b3f989d4bd648fde49d0958f0c116f2e7a2a967fc11,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000113,113,True,SUCCESS,0.029251307249069214,179,716,18,5bfab79e9c33418978ae8b3f989d4bd648fde49d0958f0c116f2e7a2a967fc11,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000114,114,True,SUCCESS,0.029950888827443123,171,684,18,19b2495de3592493aeca408aade40f3eb8e33e5c8c20227de5a77ff56f8a9b03,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000114,114,True,SUCCESS,0.029376592487096786,172,686,18,19b2495de3592493aeca408aade40f3eb8e33e5c8c20227de5a77ff56f8a9b03,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000114,114,True,SUCCESS,0.029274990782141685,172,685,18,19b2495de3592493aeca408aade40f3eb8e33e5c8c20227de5a77ff56f8a9b03,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000115,115,False,FAILURE,0.15555152297019958,350,1400,35,8e0e3708015efb7a3c49450176b4ce39a55f7a9f198a496408a9483bc4fb206f,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000115,115,False,FAILURE,0.23661264777183533,350,1400,35,8e0e3708015efb7a3c49450176b4ce39a55f7a9f198a496408a9483bc4fb206f,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000115,115,False,FAILURE,0.2261354774236679,350,1400,35,8e0e3708015efb7a3c49450176b4ce39a55f7a9f198a496408a9483bc4fb206f,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000116,116,True,SUCCESS,0.029285794124007225,159,636,16,d5862b5dc7747274aafd1fe445979db63e0272f3c346fd3a1af61318c325a4ac,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000116,116,True,SUCCESS,0.029698984697461128,159,636,16,d5862b5dc7747274aafd1fe445979db63e0272f3c346fd3a1af61318c325a4ac,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000116,116,True,SUCCESS,0.02954358421266079,159,636,16,d5862b5dc7747274aafd1fe445979db63e0272f3c346fd3a1af61318c325a4ac,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000117,117,True,SUCCESS,0.029384199529886246,192,767,20,47efd8d5d7c31f1d108d355fd9410b3eb22aa2e0cb373d5583de0527a0f87fc7,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000117,117,True,SUCCESS,0.029667748138308525,192,767,20,47efd8d5d7c31f1d108d355fd9410b3eb22aa2e0cb373d5583de0527a0f87fc7,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000117,117,True,SUCCESS,0.029982609674334526,191,762,20,47efd8d5d7c31f1d108d355fd9410b3eb22aa2e0cb373d5583de0527a0f87fc7,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000118,118,False,FAILURE,0.3623726963996887,350,1400,35,c88cf861f3909ffc45d0dfa04e7ec17eaed0b313ea69abfc24ca26578126338a,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000118,118,False,FAILURE,0.36304545402526855,350,1400,35,c88cf861f3909ffc45d0dfa04e7ec17eaed0b313ea69abfc24ca26578126338a,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000118,118,False,FAILURE,0.36289775371551514,350,1400,35,c88cf861f3909ffc45d0dfa04e7ec17eaed0b313ea69abfc24ca26578126338a,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000119,119,True,SUCCESS,0.02962060086429119,126,501,13,6051ee5c9f0fb270972b0eebe96223f74c22ec3a8e436ca53df2e5680be951c7,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000119,119,True,SUCCESS,0.029939880594611168,125,499,13,6051ee5c9f0fb270972b0eebe96223f74c22ec3a8e436ca53df2e5680be951c7,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000119,119,True,SUCCESS,0.029602395370602608,125,499,13,6051ee5c9f0fb270972b0eebe96223f74c22ec3a8e436ca53df2e5680be951c7,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000120,120,False,FAILURE,0.3359510600566864,350,1400,35,d84536c4117d4ef0893c773cd15e42d520c8fad6235c9bc95324a2901f472882,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000120,120,False,FAILURE,0.3341768980026245,350,1400,35,d84536c4117d4ef0893c773cd15e42d520c8fad6235c9bc95324a2901f472882,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000120,120,False,FAILURE,0.335430383682251,350,1400,35,d84536c4117d4ef0893c773cd15e42d520c8fad6235c9bc95324a2901f472882,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000121,121,False,FAILURE,0.04985376447439194,350,1400,35,01b00ebaa2a26df4ae5629531821c3661bd765ae95c1d29f7559d3ccdd31ee00,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000121,121,False,FAILURE,0.30418267846107483,350,1400,35,01b00ebaa2a26df4ae5629531821c3661bd765ae95c1d29f7559d3ccdd31ee00,0,False,F_TO_F,Q95_ONLY_SUCCEEDS
q95_symmetric,EXP-010,000121,121,True,SUCCESS,0.02997850812971592,172,688,18,01b00ebaa2a26df4ae5629531821c3661bd765ae95c1d29f7559d3ccdd31ee00,0,False,F_TO_S_RESCUE,Q95_ONLY_SUCCEEDS
baseline,EXP-008,000122,122,True,SUCCESS,0.02988090179860592,107,425,11,ef4fe5486239c258feb7da889b172ff020b43d6a203e301f06298e1b0739e84e,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000122,122,True,SUCCESS,0.02948123775422573,106,424,11,ef4fe5486239c258feb7da889b172ff020b43d6a203e301f06298e1b0739e84e,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000122,122,True,SUCCESS,0.02970898151397705,105,420,11,ef4fe5486239c258feb7da889b172ff020b43d6a203e301f06298e1b0739e84e,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000123,123,False,FAILURE,0.2514924705028534,350,1400,35,6032766953a56cb0c8d704ec00dd4f823095d57b25c64f5b4b8548d7b01df43d,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000123,123,True,SUCCESS,0.029610279947519302,183,731,19,6032766953a56cb0c8d704ec00dd4f823095d57b25c64f5b4b8548d7b01df43d,0,False,F_TO_S_RESCUE,C090_ONLY_SUCCEEDS
q95_symmetric,EXP-010,000123,123,False,FAILURE,0.26108554005622864,350,1400,35,6032766953a56cb0c8d704ec00dd4f823095d57b25c64f5b4b8548d7b01df43d,0,False,F_TO_F,C090_ONLY_SUCCEEDS
baseline,EXP-008,000124,124,False,FAILURE,0.030038343742489815,350,1400,35,aae7213da18445d7eec7ba68f55571c8a0552e1d3d6d614359db8e6124f06979,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000124,124,False,FAILURE,0.3428458869457245,350,1400,35,aae7213da18445d7eec7ba68f55571c8a0552e1d3d6d614359db8e6124f06979,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000124,124,False,FAILURE,0.3430001735687256,350,1400,35,aae7213da18445d7eec7ba68f55571c8a0552e1d3d6d614359db8e6124f06979,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000125,125,False,FAILURE,0.25535473227500916,350,1400,35,8d5744dda24f2cdc8b58c030410dfe599fa2974a482cc638234d93c02ea0b069,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000125,125,False,FAILURE,0.25614243745803833,350,1400,35,8d5744dda24f2cdc8b58c030410dfe599fa2974a482cc638234d93c02ea0b069,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000125,125,False,FAILURE,0.25537896156311035,350,1400,35,8d5744dda24f2cdc8b58c030410dfe599fa2974a482cc638234d93c02ea0b069,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000126,126,False,FAILURE,0.19732283055782318,350,1400,35,77f4a5fc38f9772d29263360a272fde766abf5c5139d016fa5d1426abf0c6ba6,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000126,126,True,SUCCESS,0.029905492439866066,144,573,15,77f4a5fc38f9772d29263360a272fde766abf5c5139d016fa5d1426abf0c6ba6,0,False,F_TO_S_RESCUE,BOTH_SUCCEED
q95_symmetric,EXP-010,000126,126,True,SUCCESS,0.029531771317124367,144,576,15,77f4a5fc38f9772d29263360a272fde766abf5c5139d016fa5d1426abf0c6ba6,0,False,F_TO_S_RESCUE,BOTH_SUCCEED
baseline,EXP-008,000127,127,True,SUCCESS,0.02936013787984848,146,582,15,1f9d9d2212231020490e37c9d0b361726a792d320b6d0aea4b5e19608ec86d86,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000127,127,True,SUCCESS,0.029992109164595604,145,580,15,1f9d9d2212231020490e37c9d0b361726a792d320b6d0aea4b5e19608ec86d86,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000127,127,True,SUCCESS,0.029286706820130348,145,580,15,1f9d9d2212231020490e37c9d0b361726a792d320b6d0aea4b5e19608ec86d86,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000128,128,False,FAILURE,0.2801476716995239,350,1400,35,5663488f7965169941347e48ef130c983eab25bc6710a06c08d526152d8fb4da,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000128,128,False,FAILURE,0.26763418316841125,350,1400,35,5663488f7965169941347e48ef130c983eab25bc6710a06c08d526152d8fb4da,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000128,128,False,FAILURE,0.049277499318122864,350,1400,35,5663488f7965169941347e48ef130c983eab25bc6710a06c08d526152d8fb4da,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000129,129,True,SUCCESS,0.029920684173703194,154,613,16,1e3342e534a2572ea10df7a99c32040fd08dd0d30888ad8b3202ac392cc8ab55,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000129,129,True,SUCCESS,0.02961522340774536,153,612,16,1e3342e534a2572ea10df7a99c32040fd08dd0d30888ad8b3202ac392cc8ab55,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000129,129,True,SUCCESS,0.029683489352464676,155,618,16,1e3342e534a2572ea10df7a99c32040fd08dd0d30888ad8b3202ac392cc8ab55,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000130,130,False,FAILURE,0.15335656702518463,350,1400,35,a1cc4712114074c4abedf07a63c7a4a9e0ea2c8ac7339ffc91964bc94e69e141,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000130,130,False,FAILURE,0.14677660167217255,350,1400,35,a1cc4712114074c4abedf07a63c7a4a9e0ea2c8ac7339ffc91964bc94e69e141,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000130,130,False,FAILURE,0.14793440699577332,350,1400,35,a1cc4712114074c4abedf07a63c7a4a9e0ea2c8ac7339ffc91964bc94e69e141,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000131,131,False,FAILURE,0.37148115038871765,350,1400,35,06c10805dea42d2e096199026737aee93254d171ab245de57c3298a433c4008a,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000131,131,True,SUCCESS,0.029936933889985085,194,773,20,06c10805dea42d2e096199026737aee93254d171ab245de57c3298a433c4008a,0,False,F_TO_S_RESCUE,BOTH_SUCCEED
q95_symmetric,EXP-010,000131,131,True,SUCCESS,0.029537370428442955,196,784,20,06c10805dea42d2e096199026737aee93254d171ab245de57c3298a433c4008a,0,False,F_TO_S_RESCUE,BOTH_SUCCEED
baseline,EXP-008,000132,132,True,SUCCESS,0.02984430640935898,148,589,15,23d71707f3494ad01179473caf6f027365b2e6ed81b15a79ecb3335eaf473abc,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000132,132,True,SUCCESS,0.02981862984597683,148,592,15,23d71707f3494ad01179473caf6f027365b2e6ed81b15a79ecb3335eaf473abc,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000132,132,True,SUCCESS,0.029661739245057106,148,591,15,23d71707f3494ad01179473caf6f027365b2e6ed81b15a79ecb3335eaf473abc,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000133,133,True,SUCCESS,0.029336700215935707,166,662,17,afa1a477cf640f1fd0832d902f4a68a0787e03fbbc87ab700710c21de8477eea,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000133,133,True,SUCCESS,0.029571091756224632,166,662,17,afa1a477cf640f1fd0832d902f4a68a0787e03fbbc87ab700710c21de8477eea,0,True,S_TO_S,C090_ONLY_SUCCEEDS
q95_symmetric,EXP-010,000133,133,False,FAILURE,0.14626875519752502,350,1400,35,afa1a477cf640f1fd0832d902f4a68a0787e03fbbc87ab700710c21de8477eea,0,True,S_TO_F_REGRESSION,C090_ONLY_SUCCEEDS
baseline,EXP-008,000134,134,True,SUCCESS,0.02947227656841278,188,749,19,8ab28d793acd0df385d989e3b99249f36bf9ee37acb65cc3e4aa9d6567b24a38,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000134,134,True,SUCCESS,0.029498031362891197,187,747,19,8ab28d793acd0df385d989e3b99249f36bf9ee37acb65cc3e4aa9d6567b24a38,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000134,134,True,SUCCESS,0.029450470581650734,188,752,19,8ab28d793acd0df385d989e3b99249f36bf9ee37acb65cc3e4aa9d6567b24a38,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000135,135,True,SUCCESS,0.029536113142967224,196,781,20,113ab375dc0a614ae7ec32d837305ca72b4fbf829c9c640f68fbb5575d9a2ad2,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000135,135,True,SUCCESS,0.029677007347345352,195,779,20,113ab375dc0a614ae7ec32d837305ca72b4fbf829c9c640f68fbb5575d9a2ad2,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000135,135,True,SUCCESS,0.029518036171793938,193,772,20,113ab375dc0a614ae7ec32d837305ca72b4fbf829c9c640f68fbb5575d9a2ad2,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000136,136,False,FAILURE,0.044837262481451035,350,1400,35,6d8ca4b97ac0e0ca58d177417ce8279defac7caef1c8fbc0c5901a6c96ea9820,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000136,136,False,FAILURE,0.04497993737459183,350,1400,35,6d8ca4b97ac0e0ca58d177417ce8279defac7caef1c8fbc0c5901a6c96ea9820,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000136,136,False,FAILURE,0.04282460734248161,350,1400,35,6d8ca4b97ac0e0ca58d177417ce8279defac7caef1c8fbc0c5901a6c96ea9820,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000137,137,True,SUCCESS,0.029796438291668892,117,468,12,6584a5bff1bc78aaa76e915b116fd1144c38482c8f55b48f8d6553a846de849f,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000137,137,True,SUCCESS,0.029807936400175095,118,471,12,6584a5bff1bc78aaa76e915b116fd1144c38482c8f55b48f8d6553a846de849f,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000137,137,True,SUCCESS,0.029888924211263657,118,472,12,6584a5bff1bc78aaa76e915b116fd1144c38482c8f55b48f8d6553a846de849f,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000138,138,False,FAILURE,0.03838924691081047,350,1400,35,a63a92bc4d9bd72aea44f106c1921ba584e47c971e982868cbfd27db06bb5e3b,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000138,138,False,FAILURE,0.2389453947544098,350,1400,35,a63a92bc4d9bd72aea44f106c1921ba584e47c971e982868cbfd27db06bb5e3b,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000138,138,False,FAILURE,0.21173834800720215,350,1400,35,a63a92bc4d9bd72aea44f106c1921ba584e47c971e982868cbfd27db06bb5e3b,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000139,139,True,SUCCESS,0.029300423339009285,151,603,16,5e080c5b68053dfee536b36021588b81c8dcb54f22689204d1a2e3b1da62c905,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000139,139,True,SUCCESS,0.02964085340499878,152,605,16,5e080c5b68053dfee536b36021588b81c8dcb54f22689204d1a2e3b1da62c905,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000139,139,True,SUCCESS,0.02974245324730873,151,603,16,5e080c5b68053dfee536b36021588b81c8dcb54f22689204d1a2e3b1da62c905,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000140,140,False,FAILURE,0.21492484211921692,350,1400,35,16dcedc66ec7dcdac0d1ed3137ed9c8245c52de2e2dac2332ad457fdc6412514,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000140,140,False,FAILURE,0.2147432267665863,350,1400,35,16dcedc66ec7dcdac0d1ed3137ed9c8245c52de2e2dac2332ad457fdc6412514,0,False,F_TO_F,BOTH_FAIL
