variant,experiment_id,episode_id,benchmark_episode_id,success,outcome,minimum_tcp_distance_m,control_ticks,simulation_steps,decision_rows,scene_fingerprint,intervention_count,baseline_success,paired_category_vs_baseline,paired_category_vs_other_controller
c090_primary,EXP-009,000008,8,True,SUCCESS,0.029586084187030792,163,651,17,334d3aa7f833b21a13c6e07d413421e08d51d6281be664ac2857ea74540380f0,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000008,8,True,SUCCESS,0.029909780248999596,164,653,17,334d3aa7f833b21a13c6e07d413421e08d51d6281be664ac2857ea74540380f0,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000009,9,False,FAILURE,0.0994950532913208,350,1400,35,5ed5e36b5234a2630d9b2abd8d4e72f888b59bbccb92a702e80df7a1fff5793f,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000009,9,False,FAILURE,0.09964092820882797,350,1400,35,5ed5e36b5234a2630d9b2abd8d4e72f888b59bbccb92a702e80df7a1fff5793f,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000009,9,False,FAILURE,0.10059258341789246,350,1400,35,5ed5e36b5234a2630d9b2abd8d4e72f888b59bbccb92a702e80df7a1fff5793f,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000010,10,True,SUCCESS,0.029875388368964195,127,506,13,29cb852d63406de1132566664edf1a85b342903b979ac70580e21fbd736e79a6,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000010,10,True,SUCCESS,0.029989752918481827,143,570,15,29cb852d63406de1132566664edf1a85b342903b979ac70580e21fbd736e79a6,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000010,10,True,SUCCESS,0.02999964915215969,346,1382,35,29cb852d63406de1132566664edf1a85b342903b979ac70580e21fbd736e79a6,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000011,11,True,SUCCESS,0.029904626309871674,120,478,12,6a07d39db64f3430b17200b2a2047886c1988cdb7d2c35cb9d890ced57a81452,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000011,11,True,SUCCESS,0.02969309315085411,122,486,13,6a07d39db64f3430b17200b2a2047886c1988cdb7d2c35cb9d890ced57a81452,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000011,11,True,SUCCESS,0.029969720169901848,122,485,13,6a07d39db64f3430b17200b2a2047886c1988cdb7d2c35cb9d890ced57a81452,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000012,12,False,FAILURE,0.3204963207244873,350,1400,35,ebcce695bf835cc0b49bf463f0e558d8e9ece564668811d8e3fcaba69faf3785,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000012,12,False,FAILURE,0.31994539499282837,350,1400,35,ebcce695bf835cc0b49bf463f0e558d8e9ece564668811d8e3fcaba69faf3785,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000012,12,False,FAILURE,0.31957101821899414,350,1400,35,ebcce695bf835cc0b49bf463f0e558d8e9ece564668811d8e3fcaba69faf3785,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000013,13,False,FAILURE,0.30827924609184265,350,1400,35,b0ac5499ced92a09af94262dcde0482b3734d7b35236a578175110767ee304ee,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000013,13,False,FAILURE,0.30902916193008423,350,1400,35,b0ac5499ced92a09af94262dcde0482b3734d7b35236a578175110767ee304ee,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000013,13,False,FAILURE,0.30951762199401855,350,1400,35,b0ac5499ced92a09af94262dcde0482b3734d7b35236a578175110767ee304ee,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000014,14,True,SUCCESS,0.029874330386519432,135,540,14,1754d2fdce501ea110a16f721435283f2f35662386cedabe1de886c4da42af08,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000014,14,True,SUCCESS,0.02933650277554989,137,546,14,1754d2fdce501ea110a16f721435283f2f35662386cedabe1de886c4da42af08,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000014,14,True,SUCCESS,0.02928747422993183,137,545,14,1754d2fdce501ea110a16f721435283f2f35662386cedabe1de886c4da42af08,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000015,15,True,SUCCESS,0.029887160286307335,159,633,16,8a312c7c0fbf0f9d7c0954429d0158e594cabf60d32d2bcad1af3dab225f383c,0,True,BASELINE_IDENTITY,N/A
