canonical_split,policy,topk,best_epoch,success_fa,failure_detection,failure_det_at_25,failure_det_at_50,failure_mean_detection_time,q95,q99,conformal_mass,selected_dims
all_tasks_full,unc_topk8_deep_static_v1,8,2,0.15789473684210525,0.9704641350210971,0.6118143459915611,0.8776371308016878,0.23034782608695653,0.8340401649475098,0.9863990545272827,0.15005552768707275,"6,21,25,27,23,2,26,24"
all_tasks_full,unc_topk8_gated_static_v1,8,5,0.1695906432748538,0.9704641350210971,0.620253164556962,0.890295358649789,0.21204347826086958,0.8514918088912964,0.9986692667007446,0.19155405461788177,"6,21,25,27,23,2,26,24"
all_tasks_full,unc_topk8_grouped_static_v1,8,3,0.15594541910331383,0.9873417721518988,0.6666666666666666,0.8945147679324894,0.21490028490028487,0.841166615486145,0.9962175488471985,0.21138033270835876,"6,21,25,27,23,2,26,24"
ood_last2_taskids_full,unc_topk8_deep_static_v1,8,2,0.1702127659574468,0.8279569892473119,0.23655913978494625,0.7634408602150538,0.34974025974025974,0.7786915898323059,0.981594979763031,0.15,"6,27,21,25,2,23,26,24"
ood_last2_taskids_full,unc_topk8_gated_static_v1,8,4,0.40425531914893614,0.989247311827957,0.34408602150537637,0.7419354838709677,0.3864492753623189,0.8256951570510864,0.9918325543403625,0.15,"6,27,21,25,2,23,26,24"
ood_last2_taskids_full,unc_topk8_grouped_static_v1,8,1,0.3574468085106383,0.7956989247311828,0.5698924731182796,0.7204301075268817,0.18157657657657655,0.7658793330192566,0.9679716229438782,0.15,"6,27,21,25,2,23,26,24"
