split,variant,best_epoch,seen_success_fa,seen_failure_detection,seen_failure_det_at_25,seen_failure_det_at_50,ood_success_fa,ood_failure_detection,ood_failure_det_at_25,ood_failure_det_at_50,q95,q99,conformal_mass
random_mixed,base,10,0.0,0.0,0.0,0.0,,,,,0.9999015927314758,0.9999822974205017,0.15
random_mixed,uncertainty,14,0.0,0.0,0.0,0.0,,,,,0.9999871253967285,0.9999990463256836,0.15
ood_suite_libero90,base,2,0.056910569105691054,1.0,0.0,0.0,0.2692307692307692,0.7461538461538462,0.41923076923076924,0.676923076923077,0.9797731041908264,0.9986422657966614,0.15
ood_suite_libero90,uncertainty,7,0.008130081300813009,0.0,0.0,0.0,0.015384615384615385,0.5192307692307693,0.0,0.0,0.9989371299743652,0.9999611377716064,0.15
ood_task_holdout,base,4,0.05,1.0,0.0,1.0,0.046153846153846156,0.6935483870967742,0.008064516129032258,0.0967741935483871,0.9911016821861267,0.999163031578064,0.15
ood_task_holdout,uncertainty,6,0.011111111111111112,1.0,0.0,1.0,0.011538461538461539,0.5483870967741935,0.0,0.0,0.9981043934822083,0.9998337030410767,0.15
