Using device: cuda
Loading dataset from intern_ship_ws/runs/tdqc_dataset/final_calibrated_3751rollouts.pt...
Processing 3751 episodes...
Loading Episodes:   0%|          | 0/3751 [00:00<?, ?it/s]Loading Episodes:  59%|█████▉    | 2208/3751 [00:00<00:00, 22069.44it/s]Loading Episodes: 100%|██████████| 3751/3751 [00:00<00:00, 17760.08it/s]
/home/redafrix/tests/intern_ship_research/intern_ship_ws/envs/simvla/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Loaded 3751 episodes.
Split sizes: 2625 train, 562 val, 564 test.
DEBUG: Splitting dataset...
DEBUG: Creating DataLoaders...
DEBUG: Computing class weights...
DEBUG: total successes=2651, failures=1100
DEBUG: Initializing model...
Resuming from intern_ship_ws/runs/tdqc_calibrator/lstm_td0_fine_tuned/last.pt...
Resuming at epoch 700 with best_val=0.106463
DEBUG: Starting training loop...
epoch=0773 train_loss=0.000602 val_seq_brier=0.103471 best=0.103371
epoch=0774 train_loss=0.000626 val_seq_brier=0.103481 best=0.103371
epoch=0775 train_loss=0.000611 val_seq_brier=0.103612 best=0.103371
epoch=0776 train_loss=0.000588 val_seq_brier=0.103537 best=0.103371
epoch=0777 train_loss=0.000603 val_seq_brier=0.103441 best=0.103371
epoch=0778 train_loss=0.000639 val_seq_brier=0.103697 best=0.103371
epoch=0779 train_loss=0.000600 val_seq_brier=0.103263 best=0.103371
epoch=0780 train_loss=0.000583 val_seq_brier=0.103444 best=0.103263
epoch=0781 train_loss=0.000572 val_seq_brier=0.103259 best=0.103263
epoch=0782 train_loss=0.000609 val_seq_brier=0.103363 best=0.103259
epoch=0783 train_loss=0.000585 val_seq_brier=0.103353 best=0.103259
epoch=0784 train_loss=0.000594 val_seq_brier=0.103043 best=0.103259
epoch=0785 train_loss=0.000582 val_seq_brier=0.102877 best=0.103043
epoch=0786 train_loss=0.000583 val_seq_brier=0.102921 best=0.102877
epoch=0787 train_loss=0.000595 val_seq_brier=0.102647 best=0.102877
epoch=0788 train_loss=0.000571 val_seq_brier=0.102594 best=0.102647
epoch=0789 train_loss=0.000590 val_seq_brier=0.102434 best=0.102594
epoch=0790 train_loss=0.000583 val_seq_brier=0.102124 best=0.102434
epoch=0791 train_loss=0.000588 val_seq_brier=0.102127 best=0.102124
epoch=0792 train_loss=0.000614 val_seq_brier=0.102348 best=0.102124
epoch=0793 train_loss=0.000658 val_seq_brier=0.102297 best=0.102124
epoch=0794 train_loss=0.000576 val_seq_brier=0.102209 best=0.102124
epoch=0795 train_loss=0.000600 val_seq_brier=0.102255 best=0.102124
epoch=0796 train_loss=0.000585 val_seq_brier=0.102246 best=0.102124
epoch=0797 train_loss=0.000580 val_seq_brier=0.101959 best=0.102124
epoch=0798 train_loss=0.000579 val_seq_brier=0.102112 best=0.101959
epoch=0799 train_loss=0.000575 val_seq_brier=0.102043 best=0.101959
epoch=0800 train_loss=0.000570 val_seq_brier=0.101745 best=0.101959
epoch=0801 train_loss=0.000574 val_seq_brier=0.101857 best=0.101745
epoch=0802 train_loss=0.000624 val_seq_brier=0.102464 best=0.101745
epoch=0803 train_loss=0.000805 val_seq_brier=0.101137 best=0.101745
epoch=0804 train_loss=0.000599 val_seq_brier=0.101524 best=0.101137
epoch=0805 train_loss=0.000605 val_seq_brier=0.101466 best=0.101137
