Using device: cuda
Loading dataset from intern_ship_ws/runs/tdqc_dataset/final_calibrated_3751rollouts.pt...
Processing 3751 episodes...
Loading Episodes:   0%|          | 0/3751 [00:00<?, ?it/s]Loading Episodes:  59%|█████▉    | 2221/3751 [00:00<00:00, 22195.63it/s]Loading Episodes: 100%|██████████| 3751/3751 [00:00<00:00, 18103.94it/s]
/home/redafrix/tests/intern_ship_research/intern_ship_ws/envs/simvla/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Loaded 3751 episodes.
Split sizes: 2625 train, 562 val, 564 test.
DEBUG: Splitting dataset...
DEBUG: Creating DataLoaders...
DEBUG: Computing class weights...
DEBUG: total successes=2651, failures=1100
DEBUG: Initializing model...
Resuming from intern_ship_ws/runs/tdqc_calibrator/lstm_td0/last.pt...
Resuming at epoch 200 with best_val=0.174967
DEBUG: Starting training loop...
epoch=0273 train_loss=0.000572 val_seq_brier=0.156478 best=0.157468
epoch=0274 train_loss=0.000591 val_seq_brier=0.157534 best=0.156478
epoch=0275 train_loss=0.000945 val_seq_brier=0.156273 best=0.156478
epoch=0276 train_loss=0.000641 val_seq_brier=0.157050 best=0.156273
epoch=0277 train_loss=0.000579 val_seq_brier=0.156701 best=0.156273
epoch=0278 train_loss=0.000595 val_seq_brier=0.156511 best=0.156273
epoch=0279 train_loss=0.000570 val_seq_brier=0.156500 best=0.156273
epoch=0280 train_loss=0.000564 val_seq_brier=0.156198 best=0.156273
epoch=0281 train_loss=0.000561 val_seq_brier=0.155714 best=0.156198
epoch=0282 train_loss=0.000560 val_seq_brier=0.155889 best=0.155714
epoch=0283 train_loss=0.000579 val_seq_brier=0.155542 best=0.155714
epoch=0284 train_loss=0.000583 val_seq_brier=0.155032 best=0.155542
epoch=0285 train_loss=0.000568 val_seq_brier=0.154835 best=0.155032
epoch=0286 train_loss=0.000576 val_seq_brier=0.154747 best=0.154835
epoch=0287 train_loss=0.000582 val_seq_brier=0.154771 best=0.154747
epoch=0288 train_loss=0.000564 val_seq_brier=0.154172 best=0.154747
epoch=0289 train_loss=0.000566 val_seq_brier=0.154239 best=0.154172
epoch=0290 train_loss=0.000561 val_seq_brier=0.153828 best=0.154172
epoch=0291 train_loss=0.000563 val_seq_brier=0.154196 best=0.153828
epoch=0292 train_loss=0.000577 val_seq_brier=0.152985 best=0.153828
epoch=0293 train_loss=0.000622 val_seq_brier=0.153412 best=0.152985
epoch=0294 train_loss=0.000570 val_seq_brier=0.152727 best=0.152985
epoch=0295 train_loss=0.000591 val_seq_brier=0.153030 best=0.152727
epoch=0296 train_loss=0.000639 val_seq_brier=0.153092 best=0.152727
epoch=0297 train_loss=0.000565 val_seq_brier=0.152530 best=0.152727
epoch=0298 train_loss=0.000573 val_seq_brier=0.152177 best=0.152530
epoch=0299 train_loss=0.000573 val_seq_brier=0.151936 best=0.152177
epoch=0300 train_loss=0.000570 val_seq_brier=0.151598 best=0.151936
