Policy,Row_Threshold,Mass_Threshold,Calib_FA,Calib_Det,Test_FA,Test_Det,Det@10,Det@25,Det@50,Mean_Time,Never
cal_q95_oodcal_success_FA01,0.9515595972537995,0.2568217873573297,0.010338885697874785,0.8305084745762712,0.5369127516778524,1.0,0.1935483870967742,0.9032258064516129,0.967741935483871,0.151398926076951,0.0
cal_q97_oodcal_success_FA01,0.9678083270788193,0.11358236968517302,0.010338885697874785,0.847457627118644,0.5369127516778524,1.0,0.1935483870967742,0.9032258064516129,0.967741935483871,0.15119706084218176,0.0
cal_q99_oodcal_success_FA01,0.9924276572465895,0.002486010074615583,0.010338885697874785,0.847457627118644,0.5436241610738255,0.967741935483871,0.16129032258064516,0.8709677419354839,0.9354838709677419,0.15611180642469752,0.032258064516129004
cal_q95_oodcal_success_FA02,0.9515595972537995,0.13606802821159347,0.02527283170591614,0.9152542372881356,0.5771812080536913,1.0,0.22580645161290322,0.9032258064516129,0.967741935483871,0.14699826395898097,0.0
cal_q95_oodcal_supervised_FAle05,0.9515595972537995,0.17411891624927506,0.02067777139574957,0.9152542372881356,0.5771812080536913,1.0,0.1935483870967742,0.9032258064516129,0.967741935483871,0.14837094755541202,0.0
cal_q97_oodcal_success_FA02,0.9678083270788193,0.04897314012050635,0.02527283170591614,0.9152542372881356,0.5838926174496645,1.0,0.22580645161290322,0.9032258064516129,0.967741935483871,0.1470386370059348,0.0
cal_q99_oodcal_supervised_FAle50,0.9924276572465895,0.0014941394639016179,0.010913268236645606,0.8813559322033898,0.5570469798657718,0.967741935483871,0.16129032258064516,0.8709677419354839,0.9354838709677419,0.15473508552357113,0.032258064516129004
cal_q99_oodcal_supervised_FAle40,0.9924276572465895,0.0014941394639016179,0.010913268236645606,0.8813559322033898,0.5570469798657718,0.967741935483871,0.16129032258064516,0.8709677419354839,0.9354838709677419,0.15473508552357113,0.032258064516129004
cal_q99_oodcal_supervised_FAle30,0.9924276572465895,0.0014941394639016179,0.010913268236645606,0.8813559322033898,0.5570469798657718,0.967741935483871,0.16129032258064516,0.8709677419354839,0.9354838709677419,0.15473508552357113,0.032258064516129004
cal_q99_oodcal_supervised_FAle25,0.9924276572465895,0.0014941394639016179,0.010913268236645606,0.8813559322033898,0.5570469798657718,0.967741935483871,0.16129032258064516,0.8709677419354839,0.9354838709677419,0.15473508552357113,0.032258064516129004
cal_q99_oodcal_supervised_FAle20,0.9924276572465895,0.0014941394639016179,0.010913268236645606,0.8813559322033898,0.5570469798657718,0.967741935483871,0.16129032258064516,0.8709677419354839,0.9354838709677419,0.15473508552357113,0.032258064516129004
cal_q99_oodcal_supervised_FAle15,0.9924276572465895,0.0014941394639016179,0.010913268236645606,0.8813559322033898,0.5570469798657718,0.967741935483871,0.16129032258064516,0.8709677419354839,0.9354838709677419,0.15473508552357113,0.032258064516129004
cal_q99_oodcal_supervised_FAle10,0.9924276572465895,0.0014941394639016179,0.010913268236645606,0.8813559322033898,0.5570469798657718,0.967741935483871,0.16129032258064516,0.8709677419354839,0.9354838709677419,0.15473508552357113,0.032258064516129004
cal_q99_oodcal_supervised_FAle05,0.9924276572465895,0.0014941394639016179,0.010913268236645606,0.8813559322033898,0.5570469798657718,0.967741935483871,0.16129032258064516,0.8709677419354839,0.9354838709677419,0.15473508552357113,0.032258064516129004
cal_q97_oodcal_supervised_FAle50,0.9678083270788193,0.026465114235878013,0.03848363009764503,0.9491525423728814,0.6040268456375839,1.0,0.3225806451612903,0.9032258064516129,0.967741935483871,0.14207275223061083,0.0
cal_q97_oodcal_supervised_FAle40,0.9678083270788193,0.026465114235878013,0.03848363009764503,0.9491525423728814,0.6040268456375839,1.0,0.3225806451612903,0.9032258064516129,0.967741935483871,0.14207275223061083,0.0
cal_q97_oodcal_supervised_FAle30,0.9678083270788193,0.026465114235878013,0.03848363009764503,0.9491525423728814,0.6040268456375839,1.0,0.3225806451612903,0.9032258064516129,0.967741935483871,0.14207275223061083,0.0
cal_q97_oodcal_supervised_FAle25,0.9678083270788193,0.026465114235878013,0.03848363009764503,0.9491525423728814,0.6040268456375839,1.0,0.3225806451612903,0.9032258064516129,0.967741935483871,0.14207275223061083,0.0
cal_q97_oodcal_supervised_FAle20,0.9678083270788193,0.026465114235878013,0.03848363009764503,0.9491525423728814,0.6040268456375839,1.0,0.3225806451612903,0.9032258064516129,0.967741935483871,0.14207275223061083,0.0
cal_q97_oodcal_supervised_FAle15,0.9678083270788193,0.026465114235878013,0.03848363009764503,0.9491525423728814,0.6040268456375839,1.0,0.3225806451612903,0.9032258064516129,0.967741935483871,0.14207275223061083,0.0
cal_q97_oodcal_supervised_FAle10,0.9678083270788193,0.026465114235878013,0.03848363009764503,0.9491525423728814,0.6040268456375839,1.0,0.3225806451612903,0.9032258064516129,0.967741935483871,0.14207275223061083,0.0
cal_q97_oodcal_supervised_FAle05,0.9678083270788193,0.026465114235878013,0.03848363009764503,0.9491525423728814,0.6040268456375839,1.0,0.3225806451612903,0.9032258064516129,0.967741935483871,0.14207275223061083,0.0
cal_q95_oodcal_success_FA05,0.9515595972537995,0.07368032336235031,0.05054566341183228,0.9152542372881356,0.610738255033557,1.0,0.2903225806451613,0.9032258064516129,0.967741935483871,0.13843917800476402,0.0
cal_q97_oodcal_success_FA05,0.9678083270788193,0.016597229242324874,0.05054566341183228,0.9491525423728814,0.6174496644295302,1.0,0.3870967741935484,0.9354838709677419,1.0,0.1107028947474666,0.0
cal_q95_oodcal_supervised_FAle50,0.9515595972537995,0.048572576045989906,0.06605399195864446,0.9830508474576272,0.6577181208053692,1.0,0.3548387096774194,0.9032258064516129,0.967741935483871,0.1371472405022407,0.0
cal_q95_oodcal_supervised_FAle40,0.9515595972537995,0.048572576045989906,0.06605399195864446,0.9830508474576272,0.6577181208053692,1.0,0.3548387096774194,0.9032258064516129,0.967741935483871,0.1371472405022407,0.0
cal_q95_oodcal_supervised_FAle30,0.9515595972537995,0.048572576045989906,0.06605399195864446,0.9830508474576272,0.6577181208053692,1.0,0.3548387096774194,0.9032258064516129,0.967741935483871,0.1371472405022407,0.0
cal_q95_oodcal_supervised_FAle25,0.9515595972537995,0.048572576045989906,0.06605399195864446,0.9830508474576272,0.6577181208053692,1.0,0.3548387096774194,0.9032258064516129,0.967741935483871,0.1371472405022407,0.0
cal_q95_oodcal_supervised_FAle20,0.9515595972537995,0.048572576045989906,0.06605399195864446,0.9830508474576272,0.6577181208053692,1.0,0.3548387096774194,0.9032258064516129,0.967741935483871,0.1371472405022407,0.0
cal_q95_oodcal_supervised_FAle15,0.9515595972537995,0.048572576045989906,0.06605399195864446,0.9830508474576272,0.6577181208053692,1.0,0.3548387096774194,0.9032258064516129,0.967741935483871,0.1371472405022407,0.0
cal_q95_oodcal_supervised_FAle10,0.9515595972537995,0.048572576045989906,0.06605399195864446,0.9830508474576272,0.6577181208053692,1.0,0.3548387096774194,0.9032258064516129,0.967741935483871,0.1371472405022407,0.0
cal_q95_oodcal_success_FA10,0.9515595972537995,0.021319043636321977,0.10051694428489374,0.9830508474576272,0.6711409395973155,1.0,0.5161290322580645,0.967741935483871,1.0,0.09879284589607977,0.0
cal_q97_oodcal_success_FA10,0.9678083270788193,0.00034509003162386254,0.10051694428489374,1.0,0.6778523489932886,1.0,0.4838709677419355,0.9354838709677419,1.0,0.10610036739472728,0.0
cal_q95_oodcal_success_FA50,0.9515595972537995,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q95_oodcal_success_FA40,0.9515595972537995,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q95_oodcal_success_FA30,0.9515595972537995,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q95_oodcal_success_FA25,0.9515595972537995,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q95_oodcal_success_FA20,0.9515595972537995,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q95_oodcal_success_FA15,0.9515595972537995,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q97_oodcal_success_FA50,0.9678083270788193,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q97_oodcal_success_FA40,0.9678083270788193,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q97_oodcal_success_FA30,0.9678083270788193,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q97_oodcal_success_FA25,0.9678083270788193,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q97_oodcal_success_FA20,0.9678083270788193,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q97_oodcal_success_FA15,0.9678083270788193,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q99_oodcal_success_FA50,0.9924276572465895,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q99_oodcal_success_FA40,0.9924276572465895,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q99_oodcal_success_FA30,0.9924276572465895,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q99_oodcal_success_FA25,0.9924276572465895,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q99_oodcal_success_FA20,0.9924276572465895,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q99_oodcal_success_FA15,0.9924276572465895,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q99_oodcal_success_FA10,0.9924276572465895,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q99_oodcal_success_FA05,0.9924276572465895,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cal_q99_oodcal_success_FA02,0.9924276572465895,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
