fold,policy,success_test_seen_episodes,success_test_seen_alarm_rate,success_test_ood_episodes,success_test_ood_alarm_rate,failure_eval_ood_episodes,failure_det_rate,failure_det_at_10,failure_det_at_25,failure_det_at_50,failure_never_rate,failure_mean_time_detected_only
fold_03_holdout_milk_orange_juice,current_OR_official_robust,132.0,0.3181818181818182,228.0,0.13596491228070176,24.0,1.0,0.041666666666666664,0.5,1.0,0.0,0.2906944444444444
fold_04_holdout_salad_dressing_tomato_sauce,current_transformer_mass,132.0,0.17424242424242425,241.0,0.8008298755186722,11.0,1.0,0.0,0.5454545454545454,1.0,0.0,0.25090909090909097
fold_04_holdout_salad_dressing_tomato_sauce,official_meanstd,132.0,0.11363636363636363,241.0,0.3651452282157676,11.0,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.6363636363636364,0.43083333333333335
fold_04_holdout_salad_dressing_tomato_sauce,current_AND_official_meanstd,132.0,0.0,241.0,0.3651452282157676,11.0,0.36363636363636365,0.0,0.09090909090909091,0.2727272727272727,0.6363636363636364,0.44500000000000006
fold_04_holdout_salad_dressing_tomato_sauce,current_OR_official_meanstd,132.0,0.2878787878787879,241.0,0.8008298755186722,11.0,1.0,0.09090909090909091,0.5454545454545454,1.0,0.0,0.24575757575757579
fold_04_holdout_salad_dressing_tomato_sauce,official_robust,132.0,0.10606060606060606,241.0,0.44813278008298757,11.0,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.5454545454545454,0.32266666666666666
fold_04_holdout_salad_dressing_tomato_sauce,current_AND_official_robust,132.0,0.022727272727272728,241.0,0.44398340248962653,11.0,0.45454545454545453,0.0,0.09090909090909091,0.36363636363636365,0.5454545454545454,0.3466666666666666
fold_04_holdout_salad_dressing_tomato_sauce,current_OR_official_robust,132.0,0.25757575757575757,241.0,0.8049792531120332,11.0,1.0,0.09090909090909091,0.5454545454545454,1.0,0.0,0.24000000000000002
ALL_TARGET_OBJECT_FOLDS,current_AND_official_meanstd,664.0,0.01355421686746988,1114.0,0.07989228007181329,147.0,0.1360544217687075,0.0,0.02040816326530612,0.10884353741496598,0.8639455782312925,0.44066666666666665
ALL_TARGET_OBJECT_FOLDS,current_AND_official_robust,664.0,0.022590361445783132,1114.0,0.1059245960502693,147.0,0.3197278911564626,0.027210884353741496,0.14965986394557823,0.2789115646258503,0.6802721088435374,0.30234042553191487
ALL_TARGET_OBJECT_FOLDS,current_OR_official_meanstd,664.0,0.2560240963855422,1114.0,0.41651705565529623,147.0,0.9863945578231292,0.04081632653061224,0.6326530612244898,0.9387755102040817,0.013605442176870763,0.24834482758620688
ALL_TARGET_OBJECT_FOLDS,current_OR_official_robust,664.0,0.26957831325301207,1114.0,0.43087971274685816,147.0,0.9863945578231292,0.16326530612244897,0.6394557823129252,0.9523809523809523,0.013605442176870763,0.22816091954022985
ALL_TARGET_OBJECT_FOLDS,current_transformer_mass,664.0,0.16415662650602408,1114.0,0.4138240574506284,147.0,0.9863945578231292,0.027210884353741496,0.5782312925170068,0.9387755102040817,0.013605442176870763,0.26781609195402295
ALL_TARGET_OBJECT_FOLDS,official_meanstd,664.0,0.10542168674698796,1114.0,0.08258527827648116,147.0,0.1360544217687075,0.006802721088435374,0.07482993197278912,0.08843537414965986,0.8639455782312925,0.41724188981812815
ALL_TARGET_OBJECT_FOLDS,official_robust,664.0,0.1280120481927711,1114.0,0.1229802513464991,147.0,0.3197278911564626,0.16326530612244897,0.17006802721088435,0.20408163265306123,0.6802721088435374,0.30675076260069656
