campaign,job,policy,model,best_epoch,epochs_run,uses_object_positions_before,uses_reward,uses_success,uses_task_metadata,uses_ood_rows_for_train,seen_success_fa,ood_success_fa,seen_fail_det,seen_fail_det25,seen_fail_mean_time,ood_fail_det,ood_fail_det10,ood_fail_det25,ood_fail_det50,ood_fail_mean_time,ood_fail_never,balanced_score
ood_perturbation_milk,clean_041_tcn_k16_no_current_proprio,score_q95_K3,seq_tcn,5,25,False,False,False,False,False,0.15217391304347827,0.3696682464454976,0.967391304347826,0.7282608695652174,0.17127340823970033,0.961038961038961,0.38961038961038963,0.6017316017316018,0.9177489177489178,0.19657657657657662,0.038961038961038974,1.4949517993511399
ood_perturbation_milk,clean_041_tcn_k16_no_current_proprio,score_q99_K3,seq_tcn,5,25,False,False,False,False,False,0.021739130434782608,0.14454976303317535,0.8478260869565217,0.391304347826087,0.2905128205128205,0.8354978354978355,0.05627705627705628,0.18181818181818182,0.6190476190476191,0.4216925734024179,0.16450216450216448,0.8069378248648804
ood_perturbation_milk,clean_041_tcn_k16_no_current_proprio,score_q95_K5,seq_tcn,5,25,False,False,False,False,False,0.12648221343873517,0.3341232227488152,0.9456521739130435,0.717391304347826,0.16934865900383142,0.961038961038961,0.341991341991342,0.5757575757575758,0.9134199134199135,0.21489489489489488,0.038961038961038974,1.5091671327504832
ood_perturbation_milk,clean_041_tcn_k16_no_current_proprio,or_q95_K3,seq_tcn,5,25,False,False,False,False,False,0.3814229249011858,0.6943127962085308,0.9782608695652174,0.7391304347826086,0.1674074074074074,0.9826839826839827,0.3939393939393939,0.6277056277056277,0.9567099567099567,0.1878854625550661,0.017316017316017285,0.9885985640158318
ood_perturbation_milk,clean_041_tcn_k16_no_current_proprio,or_q99_K3,seq_tcn,5,25,False,False,False,False,False,0.05731225296442688,0.28080568720379145,0.8586956521739131,0.41304347826086957,0.26345991561181437,0.8658008658008658,0.05627705627705628,0.2077922077922078,0.6623376623376623,0.40001666666666663,0.1341991341991342,0.6973214898982467
ood_perturbation_milk,clean_041_tcn_k16_no_current_proprio,and_q95_K3,seq_tcn,5,25,False,False,False,False,False,0.03557312252964427,0.13151658767772512,0.8043478260869565,0.30434782608695654,0.3282432432432432,0.670995670995671,0.0,0.12121212121212122,0.45454545454545453,0.4474623655913978,0.32900432900432897,0.3693541416341747
ood_perturbation_milk,clean_041_tcn_k8_no_current_proprio,score_q95_K3,seq_tcn,6,26,False,False,False,False,False,0.1422924901185771,0.3566350710900474,0.9782608695652174,0.75,0.1527037037037037,0.9523809523809523,0.3722943722943723,0.6536796536796536,0.8874458874458875,0.19863636363636364,0.04761904761904767,1.606022360426852
ood_perturbation_milk,clean_041_tcn_k8_no_current_proprio,score_q99_K3,seq_tcn,6,26,False,False,False,False,False,0.021739130434782608,0.14928909952606634,0.8695652173913043,0.40217391304347827,0.2892916666666667,0.8398268398268398,0.017316017316017316,0.22943722943722944,0.6753246753246753,0.36689003436426115,0.1601731601731602,0.9037249240216476
ood_perturbation_milk,clean_041_tcn_k8_no_current_proprio,score_q95_K5,seq_tcn,6,26,False,False,False,False,False,0.11462450592885376,0.31161137440758296,0.9782608695652174,0.75,0.16977777777777778,0.948051948051948,0.341991341991342,0.6147186147186147,0.8787878787878788,0.20634703196347032,0.051948051948051965,1.6008118109653244
ood_perturbation_milk,clean_041_tcn_k8_no_current_proprio,or_q95_K3,seq_tcn,6,26,False,False,False,False,False,0.37351778656126483,0.6872037914691943,1.0,0.7608695652173914,0.1588043478260869,0.987012987012987,0.3722943722943723,0.6623376623376623,0.9264069264069265,0.19551169590643275,0.012987012987012991,1.0811367182168752
