Policy,Threshold_Value,AUROC,AUPRC,Step_FPR,Step_FNR,Success_FA,Failure_Det,Det_at_10,Det_at_25,Det_at_50,Mean_Time,Never
any_row_fixed_0.3_online_gate,0.3,0.7330423570103948,0.7567383469535295,0.518910741301059,0.13915322580645162,1.0,1.0,1.0,1.0,1.0,0.011209677419354839,0.0
any_row_fixed_0.5,0.5,0.7330423570103948,0.7567383469535295,0.42939989914271304,0.20620967741935484,0.9798657718120806,1.0,1.0,1.0,1.0,0.01633064516129032,0.0
any_row_q95,0.6155413389205933,0.7330423570103948,0.7567383469535295,0.3800806858295512,0.2390725806451613,0.9798657718120806,1.0,1.0,1.0,1.0,0.023225806451612898,0.0
any_row_q99,0.9665935635566711,0.7330423570103948,0.7567383469535295,0.20584972264246093,0.4391935483870968,0.6778523489932886,1.0,0.5161290322580645,0.967741935483871,1.0,0.09971774193548384,0.0
score_q95_mass_conformal,0.15,0.7330423570103948,0.7567383469535295,0.3800806858295512,0.2390725806451613,0.959731543624161,1.0,1.0,1.0,1.0,0.025475392627881628,0.0
