canonical_split,policy,topk,best_epoch,success_fa,failure_detection,failure_det_at_25,failure_det_at_50,failure_mean_detection_time,q95,q99,conformal_mass,selected_dims
all_tasks_full,unc_topk8_temporal_v1,8,12,0.14619883040935672,0.9662447257383966,0.5527426160337553,0.8607594936708861,0.24298398835516738,0.9618549346923828,0.9999368190765381,0.15,"6,21,25,27,23,2,26,24"
ood_last2_taskids_full,unc_topk8_temporal_v1,8,6,0.5106382978723404,0.8064516129032258,0.43010752688172044,0.7419354838709677,0.25102222222222226,0.8533070087432861,0.9976175427436829,0.15,"6,27,21,25,2,23,26,24"
